  field   metric                    g_cad                    r_cad          RA      Dec     Ebv          l          b        phi      theta   Entry
    336      1.0        2.956041699995694        2.956041699995694   297.88975   -17.05    0.18      24.25   -21.3312   296.6298     3.8481     335
    337      1.0       2.9392477000001236       2.9392477000001236   304.97168   -17.05    0.09    27.1488    -27.567   303.2627     2.4424     336
    338      1.0       2.9110531999976956       2.9110531999976956   312.05361   -17.05    0.06     30.127   -33.8354   309.8249     0.7657     337
    339      1.0       2.9405497500010824       2.9405497500010824   319.13554   -17.05    0.09    33.2823   -40.1204   316.3167    -1.1572     338
    340      1.0       2.9353356499996153       2.9353356499996153   326.21746   -17.05    0.05    36.7532   -46.4031   322.7444    -3.2993     339
    341      1.0       2.9514409999974305       2.9514409999974305   333.29939   -17.05    0.03    40.7551   -52.6582   329.1201    -5.6317     340
    342      1.0        2.937795149999147        2.937795149999147   340.38132   -17.05    0.03    45.6551   -58.8462    335.461    -8.1245     341
    343      1.0        2.958286999994016        2.958286999994016   347.46325   -17.05    0.03    52.1425   -64.8952   341.7893   -10.7464     342
    344      1.0        2.936296300002141        2.936296300002141   354.54518   -17.05    0.03    61.6457   -70.6524   348.1314   -13.4655     343
    345      1.0        2.938194400001521        2.938194400001521     5.20081    -9.85    0.04   100.9227   -71.2343     0.8112   -11.0975     344
    346      1.0       2.9368402999971295       2.9368402999971295       12.25    -9.85    0.04      123.0     -72.45     7.3241   -13.8929     345
    347      1.0       2.9292591999983415       2.9292591999983415    19.29919    -9.85    0.06   145.0773   -71.2343     13.934   -16.6474     346
    348      1.0       2.9336922000002232       2.9336922000002232    26.34837    -9.85    0.03   162.8169   -67.9882    20.6735   -19.3231     347
    349      1.0        2.918865799998457        2.918865799998457    33.39756    -9.85    0.02   175.6776   -63.4501    27.5729    -21.881     348
    350      1.0       2.9140047000037157       2.9140047000037157    40.44674    -9.85    0.03   184.9807   -58.1737     34.659   -24.2805     349
    351      1.0         2.88752315000238         2.88752315000238    47.49593    -9.85    0.05   191.9858   -52.4763    41.9521   -26.4799     350
    352      1.0       2.9055671999958577       2.9055671999958577    54.54511    -9.85    0.06   197.5294   -46.5315    49.4635   -28.4372     351
    353      1.0       2.9344444000016665       2.9344444000016665     61.5943    -9.85    0.05   202.1303   -40.4378    57.1927   -30.1113     352
    354      1.0        2.937216400001489        2.937216400001489    68.64348    -9.85    0.09   206.1151   -34.2549    65.1245   -31.4635     353
    355     0.75       1.0777429999943706       1.0777429999943706    75.69267    -9.85    0.07   209.6983    -28.022     73.228     -32.46     354
    356     0.75       1.0020428000025277       1.0020428000025277    82.74185    -9.85    0.13   213.0286    -21.767    81.4572   -33.0743     355
    357     0.75       0.9876504999992903       0.9876504999992903    89.79104    -9.85    0.56   216.2161    -15.512    89.7537   -33.2891     356
    358     0.75       0.9995717499987222       0.9995717499987222    96.84022    -9.85    0.64   219.3486    -9.2762    98.0522   -33.0983     357
    359     0.75       0.9678124999954889       0.9678124999954889   103.88941    -9.85    0.38   222.5024    -3.0783   106.2871   -32.5073     358
    360     0.75        0.956273149997287        0.956273149997287   110.94883    -9.85    0.49   225.7543     3.0707   114.4112   -31.5311     359
    361      1.0       2.9747454000025755       2.9747454000025755    118.0185    -9.85    0.15   229.1789     9.1478   122.3767   -30.1942     360
    362      1.0       2.9189409499995236       2.9189409499995236   125.08817    -9.85    0.09   232.8533    15.1165   130.1397   -28.5316     361
    363      0.5        2.032824100002472        2.032824100002472   132.15783    -9.85    0.05   236.8714    20.9418   137.6841    -26.582     362
    364      1.0       2.8940625000032014       2.8940625000032014    139.2275    -9.85    0.06   241.3452    26.5785   145.0087   -24.3868     363
    365      1.0        2.914965199997823        2.914965199997823   146.29717    -9.85    0.05   246.4091    31.9669   152.1242   -21.9885     364
    366      0.5       2.4469676000007894       2.4469676000007894   153.36683    -9.85    0.07   252.2227    37.0266   159.0511    -19.429     365
    367      1.0        2.947656250002183        2.947656250002183    160.4365    -9.85    0.05   258.9647    41.6509   165.8158   -16.7494     366
    368      1.0        2.957581000002392        2.957581000002392   167.50617    -9.85    0.03   266.8098    45.6999   172.4491   -13.9891     367
    369     0.25       3.9087384000013117       3.9087384000013117   174.57583    -9.85    0.03   275.8739    49.0003   178.9836   -11.1863     368
    370      1.0         2.98838539999997         2.98838539999997    181.6455    -9.85    0.03   286.1205     51.358   185.4524    -8.3778     369
    371      1.0        3.001990750002733        3.001990750002733   188.71517    -9.85    0.04   297.2609    52.5928   191.8881    -5.5992     370
    372      1.0        3.000682899997628        3.000682899997628   195.78483    -9.85    0.05   308.7391    52.5928   198.3213    -2.8856     371
    373      1.0       2.9584490999986883       2.9584490999986883    202.8545    -9.85    0.03   319.8795     51.358   204.7804    -0.2714     372
    374      1.0        2.978356449995772        2.978356449995772   209.92417    -9.85    0.06   330.1261    49.0003   211.2904     2.2095     373
    375      1.0        2.979074099996069        2.979074099996069   216.99383    -9.85    0.05   339.1902    45.6999   217.8718     4.5238     374
    376      1.0       2.9374247999985528       2.9374247999985528    224.0635    -9.85    0.11   347.0353    41.6509   224.5404     6.6385     375
    377      1.0        2.928067149998242        2.928067149998242   231.13317    -9.85     0.1   353.7773    37.0266   231.3057     8.5222     376
    378      1.0        2.944623800001864        2.944623800001864   238.20283    -9.85    0.14   359.5909    31.9669   238.1706    10.1451     377
    379      1.0        2.912823999999091        2.912823999999091    245.2725    -9.85    0.19     4.6548    26.5785   245.1307    11.4799     378
    380      1.0       2.9375577999962843       2.9375577999962843   252.34217    -9.85    0.27     9.1286    20.9418   252.1744    12.5033     379
    381      1.0       2.9410242500016466       2.9410242500016466   259.41183    -9.85    0.37    13.1467    15.1165   259.2835    13.1963     380
    382      1.0       2.9232118500003708       2.9232118500003708    266.4815    -9.85    0.53    16.8211     9.1478   266.4341    13.5457     381
    383     0.75       0.9589466999968863       0.9589466999968863   273.55117    -9.85    0.74    20.2457     3.0707    273.599    13.5449     382
    384     0.75       0.9788193999993382       0.9788193999993382   280.61059    -9.85   14.79    23.4976    -3.0783   280.7391    13.1946     383
    385      1.0        2.898408549997839        2.898408549997839   287.65978    -9.85    0.31    26.6514    -9.2762   287.8275     12.503     384
    386      1.0        2.937245300003269        2.937245300003269   294.70896    -9.85     0.2    29.7839    -15.512    294.851     11.483     385
    387      1.0       2.9264120499974524       2.9264120499974524   301.75815    -9.85    0.16    32.9714    -21.767   301.7913    10.1533     386
    388      1.0       2.9365508999981103       2.9365508999981103   308.80733    -9.85    0.07    36.3017    -28.022   308.6369      8.537     387
    389      1.0       2.9211400000021968       2.9211400000021968   315.85652    -9.85    0.11    39.8849   -34.2549   315.3836     6.6612     388
    390      1.0        2.910694499994861        2.910694499994861    322.9057    -9.85    0.05    43.8697   -40.4378    322.034     4.5553     389
    391      1.0       2.9386226999995415       2.9386226999995415   329.95489    -9.85    0.04    48.4706   -46.5315   328.5977     2.2506     390
    392      1.0       2.9396644000007655       2.9396644000007655   337.00407    -9.85    0.07    54.0142   -52.4763   335.0899    -0.2204     391
    393      1.0         2.93999420000182         2.93999420000182   344.05326    -9.85    0.04    61.0193   -58.1737   341.5312    -2.8245     392
    394      1.0       2.9613658000016585       2.9613658000016585   351.10244    -9.85    0.04    70.3224   -63.4501   347.9461    -5.5282     393
    395      1.0       2.9400463000056334       2.9400463000056334   358.15163    -9.85    0.03    83.1831   -67.9882   354.3626    -8.2974     394
    396      1.0        2.910833400004776        2.910833400004776     1.70673    -2.65    0.04    99.0188   -63.2744      0.511    -3.1101     395
    397      1.0         2.93518519999634         2.93518519999634     8.73558    -2.65    0.05   114.6618   -65.0227     6.9755    -5.8985     396
    398      1.0       2.9132408000004943       2.9132408000004943    15.76442    -2.65    0.04   131.3382   -65.0227     13.489    -8.6486     397
    399      1.0       2.9240625000020373       2.9240625000020373    22.79327    -2.65    0.03   146.9812   -63.2744    20.0812    -11.324     398
    400      1.0       2.8933680499976617       2.8933680499976617    29.82212    -2.65    0.02   160.2078   -60.0843    26.7799   -13.8881     399
    401      1.0        2.911192100000335        2.911192100000335    36.85096    -2.65    0.03   170.8105   -55.8572    33.6092   -16.3035     400
    402      1.0       2.8946412000004784       2.8946412000004784    43.87981    -2.65    0.08   179.2247   -50.9324    40.5882   -18.5325     401
    403      1.0       2.9173957999955746       2.9173957999955746    50.90865    -2.65    0.04   186.0015   -45.5461    47.7292   -20.5375     402
    404      1.0       2.8974652999968384       2.8974652999968384     57.9375    -2.65    0.22   191.6018   -39.8527    55.0356   -22.2819     403
    405      1.0       2.9356655000010505       2.9356655000010505    64.96635    -2.65    0.06   196.3678   -33.9526    62.5005    -23.731     404
    406      1.0       2.9407869999995455       2.9407869999995455    71.99519    -2.65    0.06   200.5455   -27.9124    70.1058   -24.8544     405
    407     0.75       0.9887384000030579       0.9887384000030579    79.02404    -2.65    0.28   204.3139   -21.7785    77.8224   -25.6265     406
    408     0.75        0.966122699996049        0.966122699996049    86.05288    -2.65    0.62   207.8069   -15.5847    85.6112   -26.0292     407
    409     0.75       0.9855556000038632       0.9855556000038632    93.08173    -2.65    0.28   211.1299     -9.357     93.427   -26.0526     408
    410     0.75        0.942800900003931        0.942800900003931   100.11058    -2.65    0.91   214.3708    -3.1176   101.2217   -25.6963     409
    411     0.75       0.9588079000022844       0.9588079000022844      107.17    -2.65    0.16   217.6228     3.1405   108.9828   -24.9649     410
